Word,Number of Syllables
berpanas,3
berpandangan,4
berpandu,3
berpandukan,4
berpangkalan,4
berpangkat,3
berpanjangan,4
berpantang,3
berpantun,3
berparuh,3
berpasangan,4
berpasir,3
berpasukan,4
berpatah,3
berpatutan,4
berpaut,2
berpayung,3
berpecah,3
berpecah-pecah,5
berpegang,3
berpejabat,4
berpekik,3
berpelajaran,5
berpelana,4
berpelekat,4
berpeluang,4
berpeluh,3
berpeluk,3
berpelukan,4
berpendapat,4
berpendapatan,5
berpendidikan,5
berpendirian,5
berpenduduk,4
berpengalaman,5
berpengaruh,4
berpengetahuan,6
berperadaban,5
berperanan,4
berperang,3
berperasaan,5
berperikemanusiaan,9
berperingkat,4
berperlembagaan,6
berpersatuan,5
berpesan,3
berpesta,3
berpihak,3
berpijak,3
berpilih,3
berpindah,3
berpindah-randah,5
berpisah,3
berprasangka,4
berprestasi,4
berpuak,3
berpuas,3
berpuasa,4
berpuluh,3
berpunca,3
berpura-pura,5
berpusat,3
berpusing,3
berpusu,3
berputar,3
berputih,3
berputik,3
berputus,3
bersabar,3
bersabda,3
bersahabat,4
bersahaja,4
bersahur,3
bersahut-sahutan,6
bersaing,3
bersaingan,4
bersaksikan,4
bersalah,3
bersalam,3
bersalaman,4
bersalin,3
bersalut,3
bersama,3
bersamaan,4
bersambung,3
bersamping,3
bersandar,3
bersandarkan,4
bersanding,3
bersangkut,3
bersangkutan,4
bersantai,3
bersara,3
bersarang,3
bersarapan,4
bersarung,3
bersatu,3
bersaudara,4
bersayap,3
bersebab,3
bersebelahan,5
bersedekah,4
bersedia,4
bersedih,3
bersefahaman,5
bersegi,3
bersejarah,4
bersekongkol,4
bersekutu,4
berselang,3
berselari,4
berselekoh,4
berselendang,4
berselera,4
berselerak,4
berselerakan,5
berselindung,4
berselisih,4
berseloroh,4
berseluar,4
bersemangat,4
bersemarak,4
bersemayam,4
bersembahyang,4
bersembang,3
bersembunyi,4
bersemburan,4
bersempadan,4
bersempadankan,5
bersempena,4
bersemuka,4
bersenang,3
bersenang-lenang,5
bersendikan,4
bersendirian,5
bersengkang,3
bersengketa,4
berseni,3
bersenjata,4
bersenjatakan,5
bersentuh,3
bersentuhan,4
bersenyawa,4
berseorangan,5
bersepadu,4
bersepah,3
bersepakat,4
berserabut,4
berserah,3
berserban,3
berseri,3
berseri-seri,5
berseronok,4
berserta,3
bersesak,3
bersesuaian,5
bersetubuh,4
bersetuju,4
bersiap,3
bersiar,3
bersidang,3
bersifat,3
bersih,2
bersikap,3
bersilang,3
bersilat,3
bersilih,3
bersimbah,3
bersimpang,3
bersinar,3
bersiri,3
bersolek,3
bersongkok,3
bersopan,3
bersorak,3
bersua,3
bersuami,4
bersuamikan,5
bersuara,4
bersubahat,4
bersudut,3
bersuka,3
bersuka-suka,5
bersuka-sukaan,6
bersulam,3
bersumberkan,4
bersumpah,3
bersungguh-sungguh,5
bersusah,3
bersusun-susun,5
bersyair,3
bersyarat,3
bersyukur,3
bertaburan,4
bertafakur,4
bertahan,3
bertahap,3
bertahu,3
bertahun,3
bertajuk,3
bertakhta,3
bertakung,3
bertali,3
bertalu-talu,5
bertam,2
bertamadun,4
bertambah,4
bertanah,3
bertanak,3
bertandang,3
bertanding,3
bertangguh,3
bertanggungjawab,5
bertanya,3
bertanyakan,4
bertapa,3
bertapak,3
bertaraf,3
bertarikh,3
bertaruh,3
bertarung,3
bertatah,3
bertatahkan,4
bertatih,3
bertaubat,3
bertauliah,4
bertawakal,4
berteduh,3
bertegang,3
bertegas,3
bertegur,3
bertekad,3
bertekak,3
bertekanan,4
berteka-teki,5
bertelagah,4
bertelingkah,4
bertemasya,4
bertembung,3
bertempat,3
bertempur,3
bertemu,3
bertenaga,4
bertenang,3
bertentang,3
bertentangan,4
bertepatan,4
bertepuk,3
berteras,3
berteraskan,4
berterbangan,4
berteriak,4
berterima,4
bertertib,3
berterus,3
berterusan,4
berterus-terang,5
bertiga,3
bertikai,3
bertikam,3
bertimbang,3
bertimpa-timpa,5
bertindak,3
bertindih,3
bertingkah,3
bertingkat,3
bertinju,3
bertitik,3
bertiup,3
bertolak,3
bertopeng,3
bertopengkan,4
bertopi,3
bertuah,3
bertubi-tubi,5
bertubuh,3
bertudung,3
bertugas,3
bertuhankan,4
bertujuan,4
bertukar,3
bertulis,3
bertumbuk,3
bertumpu,3
bertunang,3
bertungkus,3
bertungkus-lumus,5
bertunjangkan,4
berturap,3
berturut,3
berturutan,4
bertutup,3
bertutur,3
beruang,3
berubah,3
berubat,3
berucap,3
beruk,2
berukuran,4
berulang,3
berulang-alik,5
berumah,3
berumput,3
berumur,3
berunding,3
berundur,3
berunsur,3
berunsurkan,4
beruntung,3
berupa,3
berupaya,4
berura-ura,5
berurus,3
berurusan,4
berurutan,4
berusaha,4
berusia,4
berwajah,3
berwajib,3
berwakaf,3
berwarna,3
berwarna-warni,5
berwaspada,4
berwibawa,4
berzaman,3
berzikir,3
besar,2
besi,2
bestari,3
besut,2
betis,2
betul,2
beza,2
biadab,3
biar,2
bias,2
biasa,3
biasan,3
biasiswa,4
biawak,3
biaya,3
bibir,2
bibit,2
bicara,3
bida,2
bidaah,3
bidalan,3
bidan,2
bidang,2
bidangan,3
bidas,2
bidik,2
biduan,3
biduanita,5
bijak,2
bijaksana,4
biji,2
bijih,2
bijirin,2
bikin,2
bila,2
bilal,2
bilamana,4
bilang,2
bilangan,3
bilau,2
bilik,2
bimbang,2
bimbing,2
bimbingan,3
bimbit,2
bina,2
binaan,3
binal,2
binasa,3
binatang,3
bincang,2
bing,1
bingit,2
bingka,2
bingkas,2
bingkisan,3
bingung,2
bini,2
bintang,2
bintik,2
birah,2
biri,2
biru,2
bisa,2
bisik,2
bisikan,3
bising,2
bisu,2
bobol,2
bobrok,2
bocor,2
bodek,2
bodoh,2
bogel,2
boh,1
boi,1
bok,1
bola,2
bolah,2
boleh,2
bolong,2
bolos,2
bolot,2
bomba,2
bomoh,2
bonda,2
boneka,3
bong,1
bonggol,2
bongkak,2
bongkar,2
bongok,2
bongsu,2
borang,2
boria,3
boroi,2
borong,2
boros,2
bosan,2
botak,2
botol,2
boyong,2
bros,1
buah,2
buak,2
bual,2
bualan,3
buana,3
buang,2
buangan,3
buas,2
buat,2
buatan,3
buaya,3
bubar,2
bubur,2
bucu,2
budak,2
budaya,3
budayawan,4
budi,2
budiman,3
bugar,2
buih,2
bujang,2
bujur,2
buka,2
bukaan,3
bukan,2
bukau,2
bukit,2
bukti,2
buku,2
bulan,2
bulanan,3
bulat,2
bulatan,3
bulu,2
buluh,2
bulus,2
bumbung,2
bumi,2
bumiputera,5
bumiputra,4
buncit,2
bung,1
bunga,2
bungkam,2
bungkus,2
bungkusan,3
bunian,3
buntat,2
buntu,2
bunuh,2
bunyi,2
bursa,2
buru,2
buruan,3
buruh,2
buruk,2
burung,2
busana,3
busuk,2
buta,2
butang,2
butir,2
butiran,3
buyung,2
cabang,2
cabar,2
cabaran,3
cabutan,3
cacamarba,4
cacat,2
cacian,3
cacing,2
cadang,2
cadangan,3
cagaran,3
cahaya,3
cair,2
cairan,3
cak,1
cakap,2
cakera,3
cakerawala,5
cala,2
calang,2
calar,2
calon,2
cam,1
camar,2
cambah,2
campak,2
campur,2
campuran,3
can,1
canai,2
canang,2
candu,2
canggih,2
canggung,2
cangkir,2
cantasan,3
cantik,2
cantil,2
cantuman,3
cap,1
capai,2
car,1
cara,2
carat,2
cari,2
carian,3
caruman,3
casis,2
cat,1
catat,2
catatan,3
catur,2
cawan,2
cawangan,3
cebisan,3
cebur,2
cecah,2
cecair,3
cedera,3
ceduk,2
cegah,2
cekal,2
cekap,2
cekera,3
cekik,2
cekup,2
cela,2
celaan,3
celah,2
celana,3
celaru,3
celik,2
celoteh,3
cemar,2
cemara,3
cemas,2
cemburu,3
cemerlang,3
cempaka,3
cempedak,3
cemuh,2
cemuhan,3
cendana,3
cendawan,3
cendekiawan,5
cendera,3
cenderahati,5
